Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,selected
"Yang, Peiqi; Verhoef, Wout; Van der Tol, Christiaan; ",Unified four-stream radiative transfer theory in the optical-thermal domain with consideration of fluorescence for multi-layer vegetation canopies,Remote Sensing,12,23,3914,2020,MDPI,y
"Wang, Ran; Liu, Zhigang; Yang, Peiqi; ",Principle and progress in remote sensing of vegetation solar-induced chlorophyll fluorescence,Advances in Earth Science,27,11,1221,2012,,
"Yang, Peiqi; van der Tol, Christiaan; Campbell, Petya KE; Middleton, Elizabeth M; ",Fluorescence Correction Vegetation Index (FCVI): A physically based reflectance index to separate physiological and non-physiological information in far-red sun-induced chlorophyll fluorescence,Remote sensing of environment,240,,111676,2020,Elsevier,y
"Yang, Peiqi; Verhoef, Wout; Prikaziuk, Egor; van der Tol, Christiaan; ",Improved retrieval of land surface biophysical variables from time series of Sentinel-3 OLCI TOA spectral observations by considering the temporal autocorrelation of surface and atmospheric properties,Remote sensing of environment,256,,112328,2021,Elsevier,y
"Vilfan, Nastassia; Van der Tol, Christiaan; Yang, Peiqi; Wyber, Rhys; Malenovský, Zbyněk; Robinson, Sharon A; Verhoef, Wouter; ",Extending Fluspect to simulate xanthophyll driven leaf reflectance dynamics,Remote sensing of environment,211,,345-356,2018,Elsevier,y
"Jiang, Hao; Liu, Zhigang; Wang, Jin; Yang, Peiqi; Zhang, Runfei; Zhang, Xiuping; Zheng, Pu; ",Combining chlorophyll fluorescence and vegetation reflectance indices to estimate non-photochemical quenching (NPQ) of rice at the leaf scale,Remote Sensing,15,17,4222,2023,MDPI,
"Malenovský, Zbyněk; Regaieg, Omar; Yin, Tiangang; Lauret, Nicolas; Guilleux, Jordan; Chavanon, Eric; Duran, Nuria; Janoutová, Růžena; Delavois, Antony; Meynier, Jean; ",Discrete anisotropic radiative transfer modelling of solar-induced chlorophyll fluorescence: Structural impacts in geometrically explicit vegetation canopies,Remote Sensing of Environment,263,,112564,2021,Elsevier,
"Celesti, Marco; van der Tol, Christiaan; Cogliati, Sergio; Panigada, Cinzia; Yang, Peiqi; Pinto, Francisco; Rascher, Uwe; Miglietta, Franco; Colombo, Roberto; Rossini, Micol; ",Exploring the physiological information of Sun-induced chlorophyll fluorescence through radiative transfer model inversion,Remote Sensing of Environment,215,,97-108,2018,Elsevier,
"Joiner, Joanna; Yoshida, Yasuko; Köehler, Philipp; Campbell, Petya; Frankenberg, Christian; van der Tol, Christiaan; Yang, Peiqi; Parazoo, Nicholas; Guanter, Luis; Sun, Ying; ",Systematic orbital geometry-dependent variations in satellite solar-induced fluorescence (SIF) retrievals,Remote Sensing,12,15,2346,2020,MDPI,
"Zhang, Runfei; Yang, Peiqi; Liu, Shouyang; Wang, Caihong; Liu, Jing; ",Evaluation of the methods for estimating leaf chlorophyll content with SPAD chlorophyll meters,Remote Sensing,14,20,5144,2022,MDPI,y
"van der Tol, Christiaan; Julitta, Tommaso; Yang, Peiqi; Sabater, Neus; Reiter, Ilja; Tudoroiu, Marin; Schuettemeyer, Dirk; Drusch, Matthias; ",Retrieval of chlorophyll fluorescence from a large distance using oxygen absorption bands,Remote Sensing of Environment,284,,113304,2023,Elsevier,
"Campbell, Petya; Middleton, Elizabeth; Huemmrich, Karl; Ward, Lauren; Julitta, Tommaso; Yang, Peiqi; van der Tol, Christiaan; Daughtry, Craig; Russ, Andrew; Alfieri, Joseph; ","Scaling photosynthetic function and CO2 dynamics from leaf to canopy level for maize–dataset combining diurnal and seasonal measurements of vegetation fluorescence, reflectance and vegetation indices with canopy gross ecosystem productivity",Data in Brief,39,,107600,2021,Elsevier,
"Prikaziuk, E; Yang, P; van der Tol, C; ","Google Earth Engine Sentinel-3 OLCI Level-1 Dataset Deviates from the Original Data: Causes and Consequences. Remote Sens. 2021, 13, 1098",,,,,2021,s Note: MDPI stays neutral with regard to jurisdictional claims in published …,
"Yang, Peiqi; Liu, Xinjie; Liu, Zhigang; van der Tol, Christiaan; Liu, Liangyun; ","The roles of radiative, structural and physiological information of sun-induced chlorophyll fluorescence in predicting gross primary production of a corn crop at various temporal scales",Agricultural and Forest Meteorology,342,,109720,2023,Elsevier,y
"Rastogi, Anshu; Antala, Michal; Prikaziuk, Egor; Yang, Peiqi; van der Tol, Christiaan; Juszczak, Radoslaw; ",Exploring the Potential of SCOPE Model for Detection of Leaf Area Index and Sun-Induced Fluorescence of Peatland Canopy,Remote Sensing,14,16,4010,2022,MDPI,
"Martini, David; Pacheco-Labrador, Javier; Perez-Priego, Oscar; Van der Tol, Christiaan; El-Madany, Tarek S; Julitta, Tommaso; Rossini, Micol; Reichstein, Markus; Christiansen, Rune; Rascher, Uwe; ",Nitrogen and phosphorus effect on sun-induced fluorescence and gross primary productivity in mediterranean grassland,Remote Sensing,11,21,2562,2019,MDPI,
"Yang, Peiqi; van der Tol, Christiaan; Verhoef, Wout; Damm, Alexander; Schickling, Anke; Kraska, Thorsten; Muller, Onno; Rascher, Uwe; ",Using reflectance to explain vegetation biochemical and structural effects on sun-induced chlorophyll fluorescence,Remote sensing of environment,231,,110996,2019,Elsevier,y
"van der Tol, Christiaan; Vilfan, Nastassia; Yang, Peiqi; Bayat, Bagher; Verhoef, Wout; ","Modeling reflectance, fluorescence and photosynthesis: development of the SCOPE model",IGARSS 2018-2018 IEEE International Geoscience and Remote Sensing Symposium,,,5968-5971,2018,IEEE,
"van der Tol, Christiaan; Vilfan, Nastassia; Dauwe, Dimitri; Cendrero-Mateo, Maria Pilar; Yang, Peiqi; ",The scattering and re-absorption of red and near-infrared chlorophyll fluorescence in the models Fluspect and SCOPE,Remote sensing of environment,232,,111292,2019,Elsevier,
"van der Tol, Christiaan; Yang, Peiqi; ","From SIF to photosynthesis: Achievements, challenges and opportunities",AGU Fall Meeting Abstracts,2020,,B039-02,2020,,
"Yang, Peiqi; Prikaziuk, Egor; Verhoef, Wout; van Der Tol, Christiaan; ",SCOPE 2.0: A model to simulate vegetated land surface fluxes and satellite signals,Geoscientific Model Development,14,7,4697-4712,2021,"Copernicus Publications Göttingen, Germany",y
"Yang, Peiqi; Liu, Zhigang; ",Remote sensing of solar-induced chlorophyll fluorescence from an unmanned airship platform,2013 IEEE International Geoscience and Remote Sensing Symposium-IGARSS,,,2786-2789,2013,IEEE,
"Yang, Peiqi; ",Interpretation of Sun-Induced Chlorophyll Fluorescence for Remote Sensing of Photosynthesis,,,,,2019,University of Twente,y
"Liu, Zhigang; He, Xue; Yang, Peiqi; Jiang, Hao; Xu, Shan; Zhao, Huarong; Ren, Sanxue; Chen, Mi; ",Diurnal pattern of sun-induced chlorophyll fluorescence as reliable indicators of crop water stress,IEEE Geoscience and Remote Sensing Letters,20,,1月5日,2023,IEEE,
"Wang, Yunfei; Zeng, Yijian; Yu, Lianyu; Yang, Peiqi; Van der Tol, Christiaan; Yu, Qiang; Lü, Xiaoliang; Cai, Huanjie; Su, Zhongbo; ","Integrated modeling of canopy photosynthesis, fluorescence, and the transfer of energy, mass, and momentum in the soil–plant–atmosphere continuum (STEMMUS–SCOPE v1. 0.0)",Geoscientific Model Development,14,3,1379-1407,2021,"Copernicus Publications Göttingen, Germany",
"Yang, Pei-Qi; LIU, Zhi-gangNI Zhuo-ya; WANG, RanWANG Qing-shan; ",Remote sensing of chlorophyll fluorescence at airborne level based on unmanned airship platform and hyperspectral sensor,Spectroscopy and Spectral Analysis,33,11,3101-3105,2013,"Editorial Office, Spectroscopy and Spectral Analysis",
"Yang, Peiqi; ","Exploring the interrelated effects of soil background, canopy structure and sun-observer geometry on canopy photochemical reflectance index",Remote Sensing of Environment,279,,113133,2022,Elsevier,y
"Yang, Peiqi; van der Tol, Christiaan; ",Linking canopy scattering of far-red sun-induced chlorophyll fluorescence with reflectance,Remote Sensing of Environment,209,,456-467,2018,Elsevier,y
"Yang, Peiqi; van der Tol, Christiaan; Yin, Tiangang; Verhoef, Wout; ",The SPART model: A soil-plant-atmosphere radiative transfer model for satellite measurements in the solar spectrum,Remote Sensing of Environment,247,,111870,2020,Elsevier,y
"Prikaziuk, Egor; Yang, Peiqi; van der Tol, Christiaan; ",Google earth engine sentinel-3 olci level-1 dataset deviates from the original data: Causes and consequences,Remote sensing,13,6,1098,2021,MDPI,
